"index","Familie","Gattung","Art","D_2__Anaerolineae","D_2__Bacilli","D_2__Bacteroidia","D_2__Clostridia","D_2__Coriobacteriia","D_2__Deltaproteobacteria","D_2__Erysipelotrichia","D_2__Fibrobacteria","D_2__Gammaproteobacteria","D_2__Methanobacteria","D_2__Methanomicrobia","D_2__Negativicutes","D_2__Saccharimonadia","D_2__Spirochaetia","D_2__Synergistia","D_2__Verrucomicrobiae","D_2__Actinobacteria","D_2__Fusobacteriia","D_2__Campylobacteria","D_2__Mollicutes","D_2__Planctomycetacia","D_2__Thermoplasmata","D_2__Burkholderiales bacterium Beta_02","D_2__Elusimicrobia","D_2__Endomicrobia","D_2__Alphaproteobacteria","D_2__Chloroflexia","D_2__Oxyphotobacteria","D_2__Melainabacteria","D_2__Lentisphaeria","D_2__Metamonada","D_2__Leptospirae","D_2__Deferribacteres","D_2__Blastocatellia","D_2__Nucletmycea","D_2__Oligosphaeria"
"LAN1612ZEBR1","Equidae","Equus","Bergzebra",0,56,526,540,0,0,22,0,0,0,96,38,0,492,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1612ZEBR2","Equidae","Equus","Bergzebra",0,0,348,417,0,0,0,62,0,36,18,102,0,242,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1711ZEBR1","Equidae","Equus","Bergzebra",0,148,1346,1561,0,0,0,140,0,0,93,34,0,1419,135,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1711ZEBR2","Equidae","Equus","Bergzebra",0,0,65,155,0,0,0,70,0,0,0,91,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1712GEPA2","Felidae","Acinonyx","Gepard",0,1290,485,43363,0,0,563,0,1929,0,0,0,0,0,0,0,198,2001,334,0,0,0,0,0,0,73,0,34,0,0,0,0,0,0,0,0
"LAN1712GNUS1","Bovidae","Connochaetes","Gnu",0,0,1691,1222,0,28,53,0,0,214,0,134,0,28,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1712GNUS2","Bovidae","Connochaetes","Gnu",0,0,3058,3382,0,41,178,0,0,633,0,154,0,186,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1712TIGA1","Felidae","Panthera","Tiger",0,704,1017,11371,328,0,1308,0,1347,0,0,587,23,0,0,0,66,3058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1811ZEBR1","Equidae","Equus","Bergzebra",0,111,607,1221,0,0,0,159,0,0,91,123,0,937,28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1811ZEBR2","Equidae","Equus","Bergzebra",0,36,2147,2060,0,0,16,592,0,0,0,237,0,2638,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1812GEPA1","Felidae","Acinonyx","Gepard",0,724,389,4744,0,0,0,0,102,0,0,0,0,0,0,0,0,1892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1812GNUS1","Bovidae","Connochaetes","Gnu",0,0,4005,5371,0,47,85,0,0,1134,0,274,0,83,0,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1812GNUS2","Bovidae","Connochaetes","Gnu",0,0,3076,4522,0,0,35,0,0,547,0,64,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1812TIGA2","Felidae","Panthera","Tiger",0,0,86,24508,140,0,764,0,81,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1911ZEBR1","Equidae","Equus","Bergzebra",0,180,962,2000,0,0,0,89,0,0,117,43,0,1377,116,57,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1911ZEBR2","Equidae","Equus","Bergzebra",0,0,2000,1706,0,0,0,406,0,19,0,235,0,2298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1912GNUS1","Bovidae","Connochaetes","Gnu",0,0,3120,3522,0,57,28,0,0,493,0,269,0,149,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1912GNUS2","Bovidae","Connochaetes","Gnu",86,0,17805,26417,0,319,343,0,22,3778,0,785,0,1173,0,958,0,0,0,0,0,11,0,40,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1912TIGA1","Felidae","Panthera","Tiger",0,0,974,20995,55,0,578,0,1145,0,0,38,0,0,0,0,0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN2011ZEBR1","Equidae","Equus","Bergzebra",0,41,189,571,0,0,0,50,0,0,0,46,0,391,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN2011ZEBR2","Equidae","Equus","Bergzebra",0,60,1836,3045,0,0,0,267,43,381,51,599,0,1714,81,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN2012GNUS1","Bovidae","Connochaetes","Gnu",59,558,2256,3347,0,43,21,0,0,281,0,235,0,138,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN2012GNUS2","Bovidae","Connochaetes","Gnu",0,0,2187,2606,0,38,0,0,0,317,0,90,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN2604FENN1","Canidae","Vulpes","Fennek",0,20,1778,4945,0,0,412,0,43,0,0,130,0,0,0,0,0,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN2604FENN2","Hippopotamidae","Hippopotamus","Fennek",0,117,2644,3879,31,57,235,0,641,0,0,587,0,0,0,0,0,1848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN2604GEPA1","Felidae","Acinonyx","Gepard",0,0,421,221,0,0,0,0,0,0,0,84,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN2604GEPA2","Felidae","Acinonyx","Gepard",0,0,434,1459,0,13,0,0,0,0,0,49,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN2604TIGA1","Felidae","Panthera","Tiger",0,0,2271,514,0,0,0,0,432,0,0,948,0,0,0,0,0,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN2604WALD2","Canidae","Speothos","Waldhund",0,0,1432,599,0,0,0,0,164,0,0,0,0,0,0,0,0,1991,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN2707GNUS1","Bovidae","Connochaetes","Gnu",0,34,4413,6497,0,0,190,0,0,1144,0,184,0,331,0,461,43,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
