"index","Familie","Gattung","Art","D_1__Actinobacteria","D_1__Bacteroidetes","D_1__Chloroflexi","D_1__Euryarchaeota","D_1__Fibrobacteres","D_1__Firmicutes","D_1__Patescibacteria","D_1__Proteobacteria","D_1__Spirochaetes","D_1__Synergistetes","D_1__Verrucomicrobia","D_1__Fusobacteria","D_1__Epsilonbacteraeota","D_1__Planctomycetes","D_1__Tenericutes","D_1__WPS-2","D_1__Elusimicrobia","D_1__Cyanobacteria","D_1__Lentisphaerae","D_1__Excavata","D_1__Deferribacteres","D_1__Acidobacteria","D_1__Opisthokonta"
"NEU2704MAEH2","Canidae","Chrysocyon","Maehnenwolf",64,41,0,0,0,825,34,4562,0,0,26,1035,0,0,0,0,0,51,0,0,0,0,0
"NEU2704MAEH3","Canidae","Chrysocyon","Maehnenwolf",0,1223,0,0,0,621,0,1152,0,0,0,3222,0,0,0,0,0,0,0,0,0,0,0
"NEU2704PAND3","Ailuridae","Ailurus","Roter_Panda",238,141,0,0,0,9158,0,59,0,0,0,0,668,0,0,0,0,0,0,0,0,0,0
"NEU2704TIGA1","Felidae","Panthera","Tiger",0,1640,0,0,0,2439,0,130,0,0,0,2396,0,0,0,0,0,0,0,0,0,0,0
"NKN1008FOSA1","Felidae","Cryptoprocta","Fossa",1335,0,0,0,0,19616,0,671,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0
"NKN1008FOSA2","Felidae","Cryptoprocta","Fossa",968,11,0,0,0,17544,0,5326,0,0,0,590,0,0,0,0,0,0,0,0,0,0,0
"NKN3007FOSA1","Felidae","Cryptoprocta","Fossa",665,132,0,49,0,8516,0,242,0,0,0,3219,0,0,0,0,0,0,0,0,0,0,0
"NKN3007FOSA2","Felidae","Cryptoprocta","Fossa",0,49,0,0,0,10807,0,3427,0,0,0,4041,0,0,0,0,0,0,0,0,0,0,0
"NUR0503ELEN1","Bovidae","Tragelaphus","Elenantilope",0,555,0,0,73,670,0,0,213,0,62,0,0,0,0,0,0,0,0,0,0,0,0
"NUR0503ELEN2","Bovidae","Tragelaphus","Elenantilope",0,569,0,0,52,354,0,38,125,0,44,0,0,0,0,0,0,0,0,0,0,0,0
"NUR0503ELEN3","Bovidae","Tragelaphus","Elenantilope",0,831,0,115,51,412,0,0,159,0,32,0,0,0,0,0,0,0,0,0,0,0,0
"NUR0503ELEN4","Bovidae","Tragelaphus","Elenantilope",0,4513,0,490,244,3811,0,26,1076,0,798,0,0,0,0,0,29,0,0,0,0,0,0
